郵便番号, 地域区分ID, (旧)郵便番号, 都道府県名(よみ), 市区町村名(よみ), 町域名(よみ), 都道府県名, 市区町村名, 町域名, 一町域が二以上の郵便番号で表される場合の表示, 小字毎に番地が起番されている町域の表示, 丁目を有する町域の場合の表示, 一つの郵便番号で二以上の町域を表す場合の表示, 更新の表示, 変更理由, 登録日, 修正日
post_id, region_id, post_id_old, state_re, cities_re, town_re, state, cities, town,more_info1,more_info2,more_info3,more_info4,more_info5,more_info6, create_on, modify_on
8010821,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｸﾛｶﾞﾜ,福岡県,北九州市門司区,黒川,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010826,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｸﾛｶﾞﾜﾋｶﾞｼ,福岡県,北九州市門司区,黒川東,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010825,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｸﾛｶﾞﾜﾆｼ,福岡県,北九州市門司区,黒川西,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000027,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｺｶﾞﾈﾏﾁ,福岡県,北九州市門司区,黄金町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000034,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｺﾏﾂﾁｮｳ,福岡県,北九州市門司区,小松町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000007,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｺﾓﾘｴ,福岡県,北九州市門司区,小森江,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010863,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｻｶｴﾏﾁ,福岡県,北九州市門司区,栄町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000102,40101,80001,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｻﾙﾊﾐ,福岡県,北九州市門司区,猿喰,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000015,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｼﾞﾅｲ,福岡県,北九州市門司区,寺内,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000028,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｼﾓﾆｼﾞｯﾁｮｳ,福岡県,北九州市門司区,下二十町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000051,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｼﾓﾏｲｿｳ,福岡県,北九州市門司区,下馬寄,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000054,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｼｬﾉｷ,福岡県,北九州市門司区,社ノ木,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
